Company Name,Mobile,Website,Type of Company,Address
JAYASURIYA AERO Private Limited | MFRS : AEROSPACE & DEFENCE PRODUCTS,+91 98408 88771,http://www.jayasuriya.org/,Transportation Service,"""SAKTHI AERO GARDEN"" 23, VENGADAMANGALAM MAIN ROAD, VENGADAMANGALAM, PONMAR, Ponmar, Venkatamangalam, Chennai, Tamil Nadu 600127, India"
Mechxpert InfoTech Solutions Pvt Ltd - Aerospace Company,+91 98403 41571,https://www.mitsengg.com/,Manufacturer,"742/2B, Mahalakshmi Nagar Layout, Mahalakshmi Nagar, Vazhuthalambedu, Kundrathur, Irandankattalai, Tamil Nadu 600069, India"
Hayael Aerospace,+91 96001 35067,http://hayaelaerospace.com/,Consultant,"No 67, Shed C Dharmaraja koil, Street, Nambi Nagar, Poonamallee, Chennai, Tamil Nadu 600056, India"
Boeing India Private Limited,+91 44 4592 0000,https://www.boeing.co.in/,Transportation Service,"Block 9A, 3rd Floor, DLF It Park Sez, 1/124 Shivaji Gardens, Mount Poonamalle Road, Manapakkam, Mugalivakkam, Chennai, Tamil Nadu 600089, India"
Staqual,+91 44 2654 5100,http://www.staqual.com/,Manufacturer,"1st St, Elango Nagar, Murthy Nagar, Padi, Chennai, Tamil Nadu 600050, India"
KUN AEROSPACE PRIVATE LIMITED,+91 98405 18801,http://www.kunaerospace.com/,Transportation Service,"22-23, Sai Nagar, Ambattur Industrial Estate, Chennai, Tamil Nadu 600058, India"
Hawking Industries Pvt. Ltd.,+91 99404 55484,N/A,Transportation Service,"25, Cathedral Rd, Ellaiamman Colony, Gopalapuram, Chennai, Tamil Nadu 600086, India"
Vaayusastra Aerospace - Head office & Administration,+91 93605 45176,https://www.vaayusastra.com/,Educational Institution,"1st floor, Vaayusastra Activity Centre, American World School, 1st Main Rd, behind KC Food Street, Nehru Nagar, Perungudi, Chennai, Tamil Nadu 600041, India"
DALOFT AEROSPACE PRIVATE LIMITED,+91 79044 47186,http://daloftaerospace.in/,Transportation Service,"FA, 1st Floor, IITM RESEARCH PARK, Kanagam, Tharamani, Chennai, Tamil Nadu 600113, India"
VCAN Aerospace,N/A,http://vcanaerospace.com/,Transportation Service,"TIDEL Park, Rajiv Gandhi IT Expy, Tharamani, Chennai, Tamil Nadu 600113, India"
Tunga Aerospace Industries Private Limited,N/A,https://tungasystems.com/,Transportation Service,"IIT Madras Research Park, Kanagam Rd, Kanagam, Tharamani, Chennai, Tamil Nadu 600113, India"
Garuda Aerospace,+91 95000 88664,http://www.garudaaerospace.com/,Transportation Service,"24, 46, KB Dasan Rd, Seetammal Colony, Seethammal Colony, Lubdhi Colony, Alwarpet, Chennai, Tamil Nadu 600018, India"
MILIA - MIL INDUSTRIES & AEROSPACE LIMITED,+91 44 2625 0210,https://www.milia.in/,Manufacturer,"25A, Periyakulam, Sidco Industrial Estate, Ambattur, Chennai, Tamil Nadu 600098, India"
Metro Precision Aerospace,+91 7397 486 649,"https://www.metroprecision.co.in/,%20%20Instagram:https:%20//www.instagram.com/metro_precision_aerospace?igsh=MWZjcTZ6OWJoODhjYw==,%20%20Youtube:%20https://youtube.com/@metroprecision-123?si=chSU4EfAvqwBcYiF",Manufacturer,"19, Anna St, Mathiyazhagan Nagar, TMP Nagar, Padi, Chennai, Tamil Nadu 600050, India"
Trusted Aerospace Engineering Pvt. Ltd,+91 44 2433 3802,http://taseglobal.com/,Transportation Service,"Wescare Towers, 16, Cenotaph Rd, Rathna Nagar, Teynampet, Chennai, Tamil Nadu 600018, India"
ASTROX AEROSPACE PVT LTD (Drone company),+91 89258 91781,http://astrox.co.in/,Transportation Service,"NO 566/2, GNR road, near Perumal Koil Street, opposite Sholavaram, Chennai, Cholavaram, Tamil Nadu 600067, India"
ANVATION DRONES AND RESEARCH TECHNOLOGIES PRIVATE LIMITED,+91 99622 97143,https://anvationdrones.com/,Transportation Service,"Regus - KRM Plaza, 817, South Towers, 8th Floor, KRM Plaza, 2, Harrington Rd, Chetpet, Chennai, Tamil Nadu 600031, India"
Bharathy Aeropace private limited,+91 98405 05100,https://bharathyaerospace.com/,Transportation Service,"Alsa samar, Plot no 102, 2nd Ave, B Block, Annanagar East, Chennai, Tamil Nadu 600102, India"
Aeroin SpaceTech Private Limited,+91 91762 09914,http://www.aeroin.space/,Transportation Service,"21, 2nd floor, Kasturi Towers, Pearl Chambers, Rukmani Nagar, Perumbakkam, Chennai, Tamil Nadu 600100, India"
Vayuyan,+91 99529 99550,N/A,Transportation Service,"16/2, New St, Panneerselvam Nagar, West Mambalam, Chennai, Tamil Nadu 600033, India"
HILD Defence and Aerospace Pvt Ltd (Operations Office),+91 44 4324 1600,http://www.hildad.com/,Manufacturer,"25, Greams Rd, Thousand Lights East, Thousand Lights, Chennai, Tamil Nadu 600006, India"
Vertical Aerospace Private Limited,+91 91235 16459,https://verticalaerospace.org/,Transportation Service,"No.31, 14, N Boag Rd, T Nagar, Lakshimi Colony, T. Nagar, Chennai, Tamil Nadu 600017, India"
Jeanuvs,+91 44 6125 2525,https://www.jeanuvs.com/,Corporate Office,"Level-2, Olympia Teknos Park, Plot.No: 28, South Phase, Ambedkar Nagar, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India"
NAHADA Technologies,+91 76959 58385,http://nahada.in/,Transportation Service,"1/1A, 1, Anna Nagar W Ext St, U R Nagar Extension, AP Block, Sector A, Padi, Chennai, Tamil Nadu 600101, India"
"ASGA COMPONENTS PVT, LTD.",+91 93848 70227,N/A,Manufacturer,"F-16, 2nd Cross Main Rd, Ambattur Industrial Estate, Chennai, Tamil Nadu 600058, India"
Garuda aerospace,+91 78248 33884,https://www.garudaaerospace.com/,Service,"159, Luz Church Rd, CIT Colony, Mylapore, Chennai, Tamil Nadu 600004, India"
Stellarix Space Private Limited,+91 81222 11194,https://www.stellarixspace.com/,Transportation Service,"55/1 Kummalamman Koil Street, Taylors Rd, Sanjeevarayanpet, Kilpauk, Chennai, Tamil Nadu 600081, India"
DREAM Aerospace,+91 94443 93449,https://www.dreamaerospace.in/,Transportation Service,"cabin 12, 2nd floor, of India, SOFTWARE TECHNOLOGY PARKS OF INDIA, Tharamani, Chennai, Tamil Nadu 600113, India"
IAAA Institute Of Aeronautics Astronautics and Aviation,+91 96006 25741,http://www.iaaaindia.com/,Service,"2nd Floor, PD Trade Center, Y-215, 2nd Ave, Anna Nagar, Y Block, Anna Nagar, Chennai, Tamil Nadu 600037, India"
ARMZ AVIATION (P) LTD - Best Aviation Training Institute,+91 82205 51116,http://www.armz.in/,Educational Institution,"2nd Floor, VSR Complex, Plot No 2, Taramani Link Rd, Tansi Nagar, Velachery, Chennai, Tamil Nadu 600042, India"
SKI Space Systems Laboratory,N/A,http://spacekidzindia.in/,Transportation Service,"Second Floor, Platinum Jubilee building, AC Tech Campus, Anna University, Guindy, Chennai, Tamil Nadu 600025, India"
The ePlane Company - IITM Office (NCCRD),N/A,http://eplane.ai/,Corporate Office,"X6RH+V5H Department of Aerospace Engineering, Machine Design Section Rd, Indian Institute Of Technology, Chennai, Tamil Nadu 600036, India"
"Titan Aviation, Chennai",+91 42989665,N/A,Consultant,"5/11, Lazer St, Gandhinagar, Sathya Nagar, Ekkatuthangal, Chennai, Tamil Nadu 600032, India"
Inbound Aerospace Private Limited,N/A,http://inboundaerospace.com/,Transportation Service,"IITM RESEARCH PARK, B-602, Kanagam Rd, Kanagam, Tharamani, Chennai, Tamil Nadu 600113, India"
Rathi Aerospace Labs,N/A,http://rathiaerospace.in/,Transportation Service,"MGR Film City Road, Kanagam, Tharamani, Chennai, Tamil Nadu 600113, India"
Space Zone India | Space Science to All,+91 73959 60012,http://www.spacezoneindia.com/,Transportation Service,"No: 926/4A2, Daevaendra Nagar, Koman Nagar, Thaiyur, Tamil Nadu 603103, India"
STRAKE AERO PRIVATE LIMITED,N/A,https://www.strakeaero.com/,Transportation Service,"Level 5, The Executive Centre, Plot No.16-20A, Tamarai Tech Park Park, Guindy Industrial Estate, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India"
DR MGR ARI NAVAL AND AEROSPACE INNOVATION LLP,+91 89258 75156,https://drmgrnai.com/,N/A,"Golden George Street, Golden George Nagar, Mogappair, Chennai, Tamil Nadu 600107, India"
360 Group Of Companies,+91 96773 10443,https://360goc.in/,Transportation Service,"Alsa Samar, Plot no.102, B7, 2nd Ave, B Block, Annanagar East, Chennai, Tamil Nadu 600102, India"
GNPC Drones Chennai,+91 79045 25969,https://gnpc.in/,Transportation Service,"16, 2nd St, Elango Nagar, Virugambakkam, Chennai, Tamil Nadu 600092, India"
